workbook,requested_view,twb_file,datasource,attr_class,attr_cleaning,attr_compat,attr_dataRefreshTime,attr_interpretationMode,attr_validate,attr_workgroup-auth-mode,attr_directory,attr_tablename,attr_access_mode,attr_authentication,attr_author-locale,attr_dbname,attr_default-settings,attr_schema,attr_sslmode,attr_update-time,attr_updated-database
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,ogrdirect,,,,,,as-is,C:/Users/USER/Documents/Documents/provincia,,,,,,,,,,
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,hyper,,,,,,,,,readonly,auth-none,es_ES,Data/TableauTemp/TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,yes,Extract,,05/06/2026 04:39:40 PM,C:/Users/USER/AppData/Local/Temp/TableauTemp/965428367/Data/Extracts/federated_0qiz8oi1sb3cd813zi06q0.hyper
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,ogrdirect,,,,,,as-is,C:/Users/Paola/Documents/Paola/provincia,,,,,,,,,,
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,hyper,,,,,,,,,readonly,auth-none,es_ES,Data/TableauTemp/TEMP_1mfpmiw0971k4v1f578x112hzadr.hyper,yes,Extract,,05/22/2026 03:51:54 PM,C:/Users/USER/AppData/Local/Temp/TableauTemp/965428367/Data/Extracts/federated_0qiz8oi1sb3cd813zi06q0.hyper
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,ogrdirect,,,,,,as-is,C:/Users/USER/Documents/Documents/provincia,,,,,,,,,,
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,hyper,,,,,,,,,readonly,auth-none,es_ES,Data/TableauTemp/TEMP_0ia2m3d0yvmif013hc7ug0w3xd9d.hyper,yes,Extract,,05/05/2026 12:03:59 AM,C:/Users/USER/AppData/Local/Temp/TableauTemp/965428367/Data/Extracts/federated_0qiz8oi1sb3cd813zi06q0.hyper
2_1aTasasdepobreza,DHBEvolucinTemporal,2.1a Tasas de pobreza.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
2_1aTasasdepobreza,DHBEvolucinTemporal,2.1a Tasas de pobreza.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
2_1aTasasdepobreza,DHBEvolucinTemporal,2.1a Tasas de pobreza.twb,DATOS_ADMIN_SM,ogrdirect,,,,,,as-is,C:/Users/USER/Documents/Documents/provincia,,,,,,,,,,
2_1aTasasdepobreza,DHBEvolucinTemporal,2.1a Tasas de pobreza.twb,DATOS_ADMIN_SM,hyper,,,,,,,,,readonly,auth-none,es_ES,Data/TableauTemp/TEMP_1xuwiiq07v62jh1750px20z4hhyi.hyper,yes,Extract,,05/06/2026 07:34:21 PM,C:/Users/USER/AppData/Local/Temp/TableauTemp/965428367/Data/Extracts/federated_0qiz8oi1sb3cd813zi06q0.hyper
2_1bPobrezahogares,DHBEvolucinTemporal,2.1b Pobreza hogares.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
2_1bPobrezahogares,DHBEvolucinTemporal,2.1b Pobreza hogares.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
2_1bPobrezahogares,DHBEvolucinTemporal,2.1b Pobreza hogares.twb,DATOS_ADMIN_SM,ogrdirect,,,,,,as-is,C:/Users/USER/Documents/Documents/provincia,,,,,,,,,,
2_1bPobrezahogares,DHBEvolucinTemporal,2.1b Pobreza hogares.twb,DATOS_ADMIN_SM,hyper,,,,,,,,,readonly,auth-none,es_ES,Data/TableauTemp/TEMP_1dy4a4h19iv2jn19yk0l20xjnxpd.hyper,yes,Extract,,05/07/2026 12:23:38 AM,C:/Users/USER/AppData/Local/Temp/TableauTemp/965428367/Data/Extracts/federated_0qiz8oi1sb3cd813zi06q0.hyper
2_2aSeg_social_General,DHBEvolucinTemporal,2.2a Seg_social_General.twb,DATOS_ADMIN_SM,federated,,,,,,,,,,,,,,,,,
2_2aSeg_social_General,DHBEvolucinTemporal,2.2a Seg_social_General.twb,DATOS_ADMIN_SM,excel-direct,no,no,,0,no,as-is,,,,,,,,,,,
