logical_table,sample_sha256,workbooks,members
_Configuracion,396bf76c297be67087edc5ce5d6b83adc3f538dc61629bbad20a0b2e5aa0cffc,71,1_1Aspectosdemogrficos_Informacincensal | 1_2Aspectosdemogrficos_Censal | 2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 2_3Seguridadalimentaria | 2_5aViviviendaCFCHabitacionales | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosEntregadealimentos | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_3hMatrculaIETasadeegreso | 3_4aEducacinespecialEstablecimientos | 3_4bEducacinespecialMatrcula | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_4bMortalidadNNyACausas | 4_6Nutricin | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_1Inversinpblicapresupuestonacional | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 7_4Becasprogresar | 8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
_Datos,0f378d2a811b287869c632b3c994b7f081c24a8fe8463dd719a69da7c93decf4,7,1_1Aspectosdemogrficos_Informacincensal | 2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1bAsistenciaEPH | 3_2eEstablecimientosEntregadealimentos
_Grupos_Indicadores,967942e7b6da4391694c0b68b3ba166a9ee751e98df1d0ff17e40a54b5e418ee,55,1_1Aspectosdemogrficos_Informacincensal | 1_2Aspectosdemogrficos_Censal | 2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_3Seguridadalimentaria | 2_5aViviviendaCFCHabitacionales | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosEntregadealimentos | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_3hMatrculaIETasadeegreso | 3_4aEducacinespecialEstablecimientos | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_6Nutricin | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_4Becasprogresar | 8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas
_Indicadores,8ef59b487052f964796b5ce6f75a7ca60999976340892ac2f9d7b6998ffe4af6,2,1_1Aspectosdemogrficos_Informacincensal | 2_1NBI
_Temas,c0fc6159e8b981b4c8480d0ae016b0207574e8acdda4ad7b6048df97da9f2a8a,2,1_1Aspectosdemogrficos_Informacincensal | 1_2Aspectosdemogrficos_Censal
shp,bbacd835b710381413ae8fbb25249c2ea023cd2a4198dfe8e885b63836c8c642,71,1_1Aspectosdemogrficos_Informacincensal | 1_2Aspectosdemogrficos_Censal | 2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 2_3Seguridadalimentaria | 2_5aViviviendaCFCHabitacionales | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosEntregadealimentos | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_3hMatrculaIETasadeegreso | 3_4aEducacinespecialEstablecimientos | 3_4bEducacinespecialMatrcula | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_4bMortalidadNNyACausas | 4_6Nutricin | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_1Inversinpblicapresupuestonacional | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 7_4Becasprogresar | 8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
_Datos,860136cbe17f2ad129f81c33c1cfd38fe3b007c7afdb94cfebbc8f0740194b7d,32,1_2Aspectosdemogrficos_Censal | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 3_1aAsistenciaICensal | 3_3hMatrculaIETasadeegreso | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_6Nutricin | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_4Becasprogresar | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas
_Indicadores,223a23724cb67c89d9aeb8eb95a152df59e802c9215eb8e6d81a0cf7fecf598f,25,1_2Aspectosdemogrficos_Censal | 2_3Seguridadalimentaria | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_4aEducacinespecialEstablecimientos | 4_6Nutricin | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_4Becasprogresar | 8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas
_Temas,82a82cdd4271fdbf41c9e0bb061f75c5fba4c8724a457ceedc4210b172f690df,15,2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 2_3Seguridadalimentaria | 2_5aViviviendaCFCHabitacionales | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA
_Indicadores,769834af151cef46668049f84a75917b475671d5c1426d3b09da062e410c1a36,27,2_1aTasasdepobreza | 2_1bPobrezahogares | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2eEstablecimientosEntregadealimentos | 3_3hMatrculaIETasadeegreso | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia
