workbook,requested_view,twb_file,worksheet,column,class,filter_attrs_json,group_filters_json
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - BTN Instructivo Navegación,"[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]",categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]""}","[{""function"": ""crossjoin"", ""{http://www.tableausoftware.com/xml/user}ui-action-filter"": ""[Action88_A2306F1AF23E4F9CAD37CD015AD97FBE]"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""database"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}, {""function"": ""member"", ""level"": ""[BTN Distribuciones (copy)_4723009404404842516]"", ""member"": ""\""Limpiar filtros\""""}, {""function"": ""member"", ""level"": ""[Calculation_4723009402545549324]"", ""member"": ""\""Seleccione\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - Contacto,"[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]",categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]""}","[{""function"": ""crossjoin"", ""{http://www.tableausoftware.com/xml/user}ui-action-filter"": ""[Action88_A2306F1AF23E4F9CAD37CD015AD97FBE]"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""database"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}, {""function"": ""member"", ""level"": ""[BTN Distribuciones (copy)_4723009404404842516]"", ""member"": ""\""Limpiar filtros\""""}, {""function"": ""member"", ""level"": ""[Calculation_4723009402545549324]"", ""member"": ""\""Seleccione\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Caracteristicas - BTN Mostrar Gráficos,"[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]",categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]""}","[{""function"": ""crossjoin"", ""{http://www.tableausoftware.com/xml/user}ui-action-filter"": ""[Action88_A2306F1AF23E4F9CAD37CD015AD97FBE]"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""database"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}, {""function"": ""member"", ""level"": ""[BTN Distribuciones (copy)_4723009404404842516]"", ""member"": ""\""Limpiar filtros\""""}, {""function"": ""member"", ""level"": ""[Calculation_4723009402545549324]"", ""member"": ""\""Seleccione\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Caracteristicas - BTN Mostrar Gráficos,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404655362069:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404655362069:nk]""}","[{""function"": ""member"", ""level"": ""[none:Visualizar Indicadores (copy)_4723009404655362069:nk]"", ""member"": ""false"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - BTN,"[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]",categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[Action (BTN Limpiar filtros,SELECCIONE)]""}","[{""function"": ""crossjoin"", ""{http://www.tableausoftware.com/xml/user}ui-action-filter"": ""[Action88_A2306F1AF23E4F9CAD37CD015AD97FBE]"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""database"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}, {""function"": ""member"", ""level"": ""[BTN Distribuciones (copy)_4723009404404842516]"", ""member"": ""\""Limpiar filtros\""""}, {""function"": ""member"", ""level"": ""[Calculation_4723009402545549324]"", ""member"": ""\""Seleccione\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - BTN,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1]"", ""filter-group"": ""26""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - BTN,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk]"", ""filter-group"": ""27""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811823804420:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1]"", ""filter-group"": ""26""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok]"", ""filter-group"": ""6""}","[{""function"": ""level-members"", ""level"": ""[none:ANIO:ok]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk]"", ""filter-group"": ""11""}","[{""function"": ""level-members"", ""level"": ""[none:APERTURA_NIVEL_1:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
