workbook,requested_view,twb_file,datasource,datasource_internal,field_name,caption,datatype,role,type,aggregation,semantic_role,hidden,param_domain_type,calculation_class,formula,members_json
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""","[{""value"": ""\""Barras\""""}, {""value"": ""\""Tabla\""""}, {""value"": ""\""Barras y tabla\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""","[{""value"": ""\""Evolución temporal\""""}, {""value"": ""\""Distribución territorial\""""}, {""value"": ""\""Cruces relevantes\""""}, {""value"": ""\""Características\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""1.1. Aspectos demográficos. Información censal""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[Parámetro 3],p_codigo_indicador,string,measure,nominal,,,,any,tableau,"""""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""","[{""value"": ""\""Jerarquía\""""}, {""value"": ""\""Torta\""""}, {""value"": ""\""Barras\""""}, {""value"": ""\""Todos\""""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Parameters,Parameters,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""1.1. Aspectos demográficos. Información censal""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""","[{""value"": ""\""Barras\""""}, {""value"": ""\""Tabla\""""}, {""value"": ""\""Barras y tabla\""""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""","[{""value"": ""\""Evolución temporal\""""}, {""value"": ""\""Distribución territorial\""""}, {""value"": ""\""Cruces relevantes\""""}, {""value"": ""\""Características\""""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""1.2. Aspectos demográficos. Información urbana (EPH)""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[Parámetro 3],p_codigo_indicador,string,measure,nominal,,,,any,tableau,"""""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""","[{""value"": ""\""Jerarquía\""""}, {""value"": ""\""Torta\""""}, {""value"": ""\""Barras\""""}, {""value"": ""\""Todos\""""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,Parameters,Parameters,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""1.2. Aspectos demográficos. Información urbana (EPH)""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""",[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,[]
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,1.2 Aspectos demogr├íficos_ Censal.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""","[{""value"": ""\""Barras\""""}, {""value"": ""\""Tabla\""""}, {""value"": ""\""Barras y tabla\""""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""","[{""value"": ""\""Evolución temporal\""""}, {""value"": ""\""Distribución territorial\""""}, {""value"": ""\""Cruces relevantes\""""}, {""value"": ""\""Características\""""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""2.1. Necesidades básicas insatisfechas (NBI)""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[Parámetro 3],p_codigo_indicador,string,measure,nominal,,,,any,tableau,"""""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""","[{""value"": ""\""Jerarquía\""""}, {""value"": ""\""Torta\""""}, {""value"": ""\""Barras\""""}, {""value"": ""\""Todos\""""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,Parameters,Parameters,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,"[{""value"": ""true""}, {""value"": ""false""}]"
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Gráfico seleccionado (copia)_541839333440561152],p_grafico_cruces_relevantes,string,measure,nominal,,,,list,tableau,"""Barras y tabla""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parametro gráfico (copia)_541839334149496838],p_seccion,string,measure,nominal,,,,list,tableau,"""Situación General""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 1],p_grafico,string,measure,nominal,,,,list,tableau,"""Evolución temporal""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Parámetro 2],p_tablero,string,measure,nominal,,,,list,tableau,"""2.1. Necesidades básicas insatisfechas (NBI)""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico (copia)],p_mostrar_indicadores,boolean,measure,nominal,,,,list,tableau,false,[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_grafico_apertura_grupo (copia)_1886797147614048275],p_grafico_caracteristicas,string,measure,nominal,,,,list,tableau,"""Todos""",[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_mostrar_indicadores (copy)_4723009404655562774],p_ver_graficos_caracteristicas,boolean,measure,nominal,,,,list,tableau,false,[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_caracteristicas (copy)_54254335857623040],p_ver_graficos_cruces_relevantes,boolean,measure,nominal,,,,list,tableau,false,[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_cruces_relevantes (copy)_54254335887020034],p_ver_graficos_dist_territorial,boolean,measure,nominal,,,,list,tableau,false,[]
2_1NBI,DHBEvolucinTemporal,2.1 NBI.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[p_ver_graficos_dist_territorial (copy)_54254335887122435],p_ver_graficos_evol_temporal,boolean,measure,nominal,,,,list,tableau,false,[]
