workbook,view,tema,status,package_type,bytes,worksheets,dashboards,fields,calculated_fields,filters,parameters,connections,relations,actions,hyper_tables,hyper_columns,hyper_rows,worksheet_signature,dashboard_signature,parameter_signature,formula_signature,schema_signature,logical_tables,family_signature,family_id
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,ok,twbx_zip,4556253,59,4,292,82,247,21,4,30,79,7,73,12983,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,78300c43aea26d2eedde720c58c1024ade2bf742af1f64f13f62729024a627ff,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,ok,twbx_zip,4564972,59,4,292,82,247,21,4,30,79,7,73,13502,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,22b066ae085332caef324c3d1fc6a71651b11e9aa8778c19c83e0199975f154c,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_1NBI,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4555098,59,4,292,82,247,21,4,30,79,7,73,12956,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,d83be9f7b977745e893659dc475c09777db21e888d0de67cfd3aa475a41b8edd,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_1aTasasdepobreza,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4556257,59,4,292,82,247,21,4,30,79,7,73,12951,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,d61cabd831a47ccf21846f919c0370af5ba4d3162ac5f5dad7a34555458ece67,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_1bPobrezahogares,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4556187,59,4,292,82,247,21,4,30,79,7,73,12951,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,a882955caa58ee9ade8d13e4e5de19a2563c3ff151cef633b85c6e3161979634,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_2aSeg_social_General,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4571334,59,4,292,82,247,21,4,30,79,7,73,13915,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,4e552e17edd453c8620454d9049459f42e99becaea12b14a434cfc8e113bee53,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_2bAUH,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4572015,59,4,292,82,247,21,4,30,79,7,73,13915,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,6154cf41cbd593cb5034c6e1c1acabc208bf903932847bda4fca1dc841ad2421,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_2cAAFF,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4572032,59,4,292,82,247,21,4,30,79,7,73,13915,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,f5dcd1c221a41a963973b41a566480c6090313a1d08440f918e102042461c6d4,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_2dAsignacinembarazo,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4571456,59,4,292,82,247,21,4,30,79,7,73,13915,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,4ead884639b7b7893bf082630066b8db9820f4095b48f1635a2819d96bd6d778,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_2ePensinmadre7hijos,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4571858,59,4,292,82,247,21,4,30,79,7,73,13915,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,d2b601fe6c71f383ddfd1ef37e42b9b1da5ebc6cfd5ef771f60d30394a70a431,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_3Seguridadalimentaria,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4568400,59,4,292,82,247,21,4,30,79,7,73,13846,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,1bed589aef1a5436ff96f6498ce4e7b226a268d18a2e1dfbc084c2b423c6e1a4,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_5aViviviendaCFCHabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4806974,59,6,292,82,247,21,4,30,85,7,73,12986,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,89131d3620057f9747e7787b882f97ec1068fc0c0c403b24cea55dbf60029b51,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,a312a655a053ccae8c7c00a383b8c4f0a943fc71d80311c930c59b19b04d874c,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,832ef14e5413612d69b9b90730b2cfe499e7bad2154824293219cadee63f9aaa,F02
2_5bViviviendaCFServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4565361,59,4,292,82,247,21,4,30,79,7,73,13502,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,4aa63033ad03f1892af122a77e2cf34f15ceda34766344677743f3ba83f7491a,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_5cViviviendaEPHChabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4565373,59,4,292,82,247,21,4,30,79,7,73,13502,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,61213b7020d0915c300faca0bac74ea48b3f7ea09322b1f0dbfbf5d4b21bda56,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_5dViviviendaEPHServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4565265,59,4,292,82,247,21,4,30,79,7,73,13502,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,75880bd15cd426a6bdec2e468994c0c9c4e374580c31a0d52fcacd8a93fde728,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_6aTrabajoadolescenteCenso,DHBEvolucinTemporal,adolescencia,ok,twbx_zip,4556209,59,4,292,82,247,21,4,30,79,7,73,12988,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,a2aad9d20d0354cdad552f1a476ddf8f787e299c552dc576b1fad7efe85c1350,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
2_6bTrabajoinfantilyadolescenteEANNA,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,ok,twbx_zip,4556287,59,4,292,82,247,21,4,30,79,7,73,12975,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,cb27069ff9a24abd84cfc207ad90faa955372fa1b7cfb1f3e3616ab7fd71d19b,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
